day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 3,2094 kcal,94.6 g,273.6 g,73.5 g,45.8 g,Boiled Egg | Peas poha,Gavar sabzi | Jowar roti | Dahi | Mix daal | Carrot tomato salad,Dahi | Dal Khichadi | Green salad,Papaya smoothie | Chia seeds,Egg white,Coconut water | Almonds | Cashew Nuts,Chickpea vegetable salad,2 Egg | 2 katori,1 katori | 3 piece | 1 katori | 1 katori | 1 katori,1 katori | 2 Bowl | 1 katori,1 glass | 1 tbsp,boiled,1 piece | 6 almond | 6 Piece,2 katori,172 | 280,65 | 249 | 90 | 149 | 27,90 | 346 | 60,148 | 47,4 piece,49 | 42 | 48,164,2 | 55.8,4.7 | 53.4 | 4.5 | 22.4 | 5.4,4.5 | 57.2 | 2.8,18.3 | 4.1,68,9.1 | 1.8 | 1.8,25,13.2 | 6,2.6 | 5.4 | 4.7 | 8.7 | 0.9,4.7 | 13.2 | 1.4,5.3 | 1.6,0.8,2.9 | 1.8 | 1.8,6,13.2 | 4,3.8 | 2.4 | 6 | 2.9 | 0.2,6 | 7.2 | 4.8,6.2 | 3,14.4,0.2 | 3.6 | 4.2,5,0 | 2.2,3.6 | 4.5 | 0 | 6 | 2.5,0 | 7 | 1.7,2.3 | 3.3,0.8,2.3 | 1.2 | 0,9.2,Weight Loss,North Indian,None,Non Veg,2100
Day 4,2108 kcal,92.7 g,286.4 g,70.2 g,50.9 g,Wheat Roti | Egg bhurji,Plain Rice | Carrot cucumber salad | Wheat Roti | Chicken curry | Daal,Bajra roti | Chana lobia curry | Carrot tomato salad,Chia seeds | walnuts | Apple smoothie,Sprouts,Watermelon | Almonds | Cashew Nuts,Makhana | Ragi with buttermilk,2 roti | 2 one,1 Katori | 1 katori | 2 roti | 1 katori | 1 bowl,2 piece | 1 katori | 1 katori,1 tbsp | 6 piece | 1 glass,2 Katori,1 cup | 6 almond | 6 Piece,1 katori | 1 glass,170 | 304,120 | 21 | 170 | 163 | 116,226 | 171 | 27,47 | 84 | 145,48,42 | 48,111 | 71,34.8 | 9.6,26.7 | 4.9 | 34.8 | 4.6 | 18.7,38.2 | 24.3 | 5.4,4.1 | 1.2 | 22,9.6,24 | 1.8 | 1.8,24.6 | 14.3,6 | 15.2,2.6 | 0.7 | 6 | 17.9 | 7.2,6.6 | 9 | 0.9,1.6 | 1.8 | 3.6,4.8,5 | 1.8 | 1.8,3.1 | 1.8,0.8 | 23.8,0.3 | 0.1 | 0.8 | 7.7 | 1.4,5.2 | 4.3 | 0.2,3 | 8.4 | 4.9,0.4,0.3 | 3.6 | 4.2,0 | 0.8,5.4 | 2.6,0.5 | 1.1 | 5.4 | 1.7 | 3.1,6.4 | 4.3 | 2.5,3.3 | 1.2 | 1.6,2.8,0.3 | 1.2 | 0,4.6 | 2.3,Weight Loss,North Indian,None,Non Veg,2100
Day 1,1805.5 kcal,78.1 g,247.5 g,58.95 g,42.5 g,Boiled Egg | Peas poha,Grilled paneer | Daal | Carrot cucumber salad | Brown rice,Wheat Roti | Cabbage sabzi | Daal,Almonds | Cashew Nuts,Moong beans boiled,Apple | Chia seeds | Almonds,Makhana,1 Egg | 1.5 katori,1 serving | 1.5 bowl | 1 katori | 1.5 katori,2 roti | 1 katori | 1 bowl,6 almond | 6 Piece,1 katori,1 piece | 1 tbsp | 6 almond,1 katori,86 | 210,287 | 174 | 21 | 163.5,170 | 62 | 116,42 | 48,138,47 | 42,111,1 | 41.85,1.8 | 28.05 | 4.9 | 34.2,34.8 | 4.7 | 18.7,1.8 | 1.8,23.4,88 | 4.1 | 1.8,24.6,6.6 | 4.5,16.9 | 10.8 | 0.7 | 3.6,6 | 1.5 | 7.2,1.8 | 1.8,9.9,20 | 1.6 | 1.8,3.1,6.6 | 3,23.7 | 2.1 | 0.1 | 1.35,0.8 | 4.2 | 1.4,3.6 | 4.2,0.5,0.3 | 3 | 3.6,0,0 | 1.65,0.5 | 4.65 | 1.1 | 1.5,5.4 | 2.6 | 3.1,1.2 | 0,6.9,0.8 | 3.3 | 1.2,4.6,Weight Loss,South Indian,Cholesterol,Non Veg,1800
Day 2,1765 kcal,78.45 g,221.6 g,66.15 g,46.95 g,Upma | Boiled Egg,Dosa | Carrot tomato salad | Chicken curry,Wheat Roti | Tofu | Green salad | Mix Veg Bhaji,Muskmelon | Cashew Nuts,Boiled kala chana,Pear | Flax seeds | Almonds,Boiled peanuts | Ragi with buttermilk,1 katori | 1 Egg,3 dosa | 1 katori | 1 katori,2 roti | 0.5 serving | 1 katori | 1 Small,1 cup | 6 Piece,1 katori,1 piece | 1 tbsp | 6 almond,1 serving | 1 glass,171 | 86,345 | 27 | 163,170 | 72 | 60 | 94,48,161,55 | 42,96 | 71,24.3 | 1,59.1 | 5.4 | 4.6,34.8 | 1.4 | 2.8 | 14.2,27 | 1.8,27.2,77 | 3 | 1.8,2.7 | 14.3,4.4 | 6.6,9.6 | 0.9 | 17.9,6 | 8.65 | 1.4 | 2.3,5.6 | 1.8,7.6,17.6 | 1.9 | 1.8,4.4 | 1.8,6.3 | 6.6,7.8 | 0.2 | 7.7,0.8 | 4.35 | 4.8 | 3.3,0.5 | 4.2,2.4,0.9 | 4.4 | 3.6,8.3 | 0.8,2.5 | 0,0 | 2.5 | 1.7,5.4 | 1.15 | 1.7 | 4,0.3 | 0,12.6,0.3 | 2.8 | 1.2,1.4 | 2.3,Weight Loss,South Indian,Cholesterol,Non Veg,1800
Day 3,1775 kcal,76 g,247.3 g,56.85 g,40.15 g,Oats rava idli | Tomato chutney,Drumstick sambhar | Boiled Egg | Brown rice,Ragi/nachni roti | Bhindi Sabzi | Daal | Carrot cucumber salad,Chia seeds | Orange,Egg white,Coconut water | Almonds | Pumpkin seeds,Roasted chana | Buttermilk,4 piece | 4 tbsp,1.5 katori | 2 Egg | 1.5 katori,2 roti | 1 Katori | 1 bowl | 1 katori,1 tbsp | 1 piece,boiled,1 piece | 6 almond | 1 tbsp,1 katori | 1 glass,296 | 40,139.5 | 172 | 163.5,174 | 68 | 116 | 21,47 | ,2 piece,49 | 42 | 52,270 | 45,46 | 4,16.5 | 2 | 34.2,38.4 | 7.1 | 18.7 | 4.9,4.1 | 46,34,9.1 | 1.8 | 1.3,46 | 2.3,9.6 | 0.8,6.3 | 13.2 | 3.6,4 | 1.8 | 7.2 | 0.7,1.6 | 10.5,0.4,2.9 | 1.8 | 2.7,9.6 | 2.3,8.4 | 2.4,5.4 | 13.2 | 1.35,0.8 | 3.7 | 1.4 | 0.1,3 | 0.7,7.2,0.2 | 3.6 | 4.4,5.3 | 3,4 | 2,3.45 | 0 | 1.5,6.2 | 3.1 | 3.1 | 1.1,3.3 | 0.2,0.4,2.3 | 1.2 | 0.6,7.2 | 0,Weight Loss,South Indian,Cholesterol,Non Veg,1800
Day 4,1814 kcal,77 g,224.5 g,70.9 g,38 g,Chana Soyabean Bhaji | Ragi Dosa,Tomato cucumber raita | Green salad | Soya chunk pulao,Multi grain roti | Carrot cucumber salad | Paneer Burji,Cashew Nuts | Pomegranate,Epigamia plain yoghurt | Muskmelon,Carrot beetroot juice | Almonds | Chia seeds,Roasted peanuts | Buttermilk,1 Katori | 2 Dosa,1 katori | 1 katori | 2 katori,2 roti | 1 katori | 1.5 Small,4 Piece | 1 cup,1 pack | 1 cup,1 glass | 6 almond | 1 tbsp,0.5 serving | 1 glass,141 | 204,51 | 60 | 296,164 | 21 | 313.5,32 | 144,69 | ,72 | 42 | 47,85.5 | 45,11.5 | 43.2,5.5 | 2.8 | 47.2,31.8 | 4.9 | 4.8,1.2 | 32.5,5.6 | 27,15.7 | 1.8 | 4.1,4 | 2.3,8.3 | 4.4,2.5 | 1.4 | 12.4,6.2 | 0.7 | 17.55,1.2 | 2.9,7.2 | 5.6,2.1 | 1.8 | 1.6,3.95 | 2.3,7.2 | 1.4,2.4 | 4.8 | 6,1.4 | 0.1 | 24.9,2.8 | 2,2 | 0.5,0 | 3.6 | 3,6 | 3,2.4 | 4.4,1.1 | 1.7 | 4.8,6 | 1.1 | 1.05,0 | 7,0 | 0.3,1 | 1.2 | 3.3,1.65 | 0,Weight Loss,South Indian,Cholesterol,Non Veg,1800
Day 1,1194 kcal,54.55 g,168.65 g,35.75 g,34.05 g,Dahi | Oats vegetable chilla,Jowar roti | Paneer capsicum sabzi | Carrot tomato salad,Sprouts Salad | Daal | Brown rice | Chickpea vegetable salad,Papaya,Epigamia plain yoghurt,Coconut water | Almonds,Moong beans boiled,0.5 katori | 1 chilla,2 piece | 1.5 katori | 1 katori,1 Katori | 1 bowl | 1 katori | 1 katori,1 cup,1 pack,1 piece | 4 almond,1 katori,45 | 97,166 | 198 | 27,24 | 116 | 109 | 82,,69,49 | 28,138,2.25 | 8.9,35.6 | 7.8 | 5.4,5 | 18.7 | 22.8 | 12.5,46,5.6,9.1 | 1.2,23.4,2.35 | 2.3,3.6 | 9 | 0.9,1.7 | 7.2 | 2.4 | 3,10.4,7.2,2.9 | 1.2,9.9,3 | 5.8,1.6 | 14.85 | 0.2,0.2 | 1.4 | 0.9 | 2.5,0.9,2,0.2 | 2.4,0.5,0 | 1.8,3 | 2.85 | 2.5,1.4 | 3.1 | 1 | 4.6,0.2,0,2.3 | 0.8,6.9,Weight Loss,North Indian,Thyroid,Veg,1200
Day 2,1178 kcal,51.85 g,180.4 g,31.3 g,39.45 g,Peas poha,Wheat Roti | Gobi matar sabzi | Daal | Carrot cucumber salad,Chana palak curry | Bajra roti | Carrot cucumber salad,Mosambi | Almonds,Boiled soyabean,Pear | Cashew Nuts,Sweet corn and moong dal chaat,1 katori,2 roti | 1 katori | 1 bowl | 1 katori,1 katori | 1 piece | 1 katori,1 piece | 4 almond,0.5 cup,1 piece | 4 Piece,1 katori,140,170 | 82 | 116 | 21,129 | 113 | 21,29 | 28,148,32,72,27.9,34.8 | 7 | 18.7 | 4.9,17.2 | 19.1 | 4.9,6.2 | 1.2,7.2,77 | 1.2,12.5,3,6 | 2.7 | 7.2 | 0.7,4.9 | 3.3 | 0.7,0.5 | 1.2,15.65,17.6 | 1.2,3.9,2,0.8 | 5 | 1.4 | 0.1,4.8 | 2.6 | 0.1,0.2 | 2.4,7.7,0.9 | 2.8,1.1,1.1,5.4 | 3.4 | 3.1 | 1.1,4.9 | 3.2 | 1.1,1.8 | 0.8,5.15,0.3 | 0,2,Weight Loss,North Indian,Thyroid,Veg,1200
Day 3,1195 kcal,50.6 g,177.8 g,34.4 g,38.3 g,Paneer Paratha | Dahi,Peas Pulao | Bhindi Sabzi | Wheat Roti,Daal | Ragi/nachni roti | Carrot tomato salad,Almonds | Cashew Nuts,Moong beans boiled,Fresh fruit salad | Chia seeds,Rajma chhole moong sprout salad,1 Piece | 1 katori,1 Katori | 1 Katori | 1 roti,1 bowl | 1 roti | 1 katori,4 almond | 4 Piece,1 katori,1 katori | 1 tbsp,1 katori,224 | 90,134 | 68 | 85,116 | 87 | 27,28 | 32,138,60 | 47,59,24.1 | 4.5,26.1 | 7.1 | 17.4,18.7 | 19.2 | 5.4,1.2 | 1.2,23.4,14 | 4.1,11.4,9.2 | 4.7,4.2 | 1.8 | 3,7.2 | 2 | 0.9,1.2 | 1.2,9.9,0.9 | 1.6,2.8,10.9 | 6,1.5 | 3.7 | 0.4,1.4 | 0.4 | 0.2,2.4 | 2.8,0.5,0.5 | 3,0.7,3.8 | 0,2.6 | 3.1 | 2.7,3.1 | 3.1 | 2.5,0.8 | 0,6.9,3.6 | 3.3,2.8,Weight Loss,North Indian,Thyroid,Veg,1200
Day 4,1188 kcal,54 g,163.3 g,38.4 g,24.7 g,Upma,Lauki sabzi | Wheat Roti | Daal | Kheera tamatar salad,Tomato cucumber raita | Millet and spinach khichdi,Cashew Nuts | Orange,Tofu,Carrot beetroot juice | Almonds,Murmura chana peanuts bhel,1 katori,1 katori | 2 roti | 1 bowl | 1 katori,1 katori | 1 katori,4 Piece | 1 piece,1 serving,1 glass | 4 almond,1 katori,171,50 | 170 | 116 | 15,51 | 70,32 | ,144,72 | 28,223,24.3,3.7 | 34.8 | 18.7 | 3.2,5.5 | 10.7,1.2 | 46,2.8,15.7 | 1.2,31,4.4,0.7 | 6 | 7.2 | 0.6,2.5 | 2.9,1.2 | 10.5,17.3,2.1 | 1.2,7.2,6.3,3.7 | 0.8 | 1.4 | 0.1,2.4 | 1.7,2.8 | 0.7,8.7,0 | 2.4,7.9,2.5,2.5 | 5.4 | 3.1 | 0.9,1.1 | 1.8,0 | 0.2,2.3,1 | 0.8,2.2,Weight Loss,North Indian,Thyroid,Veg,1200
